Year,Season,seasonID,Area,Biomes,Count,areaID,Trend,Rainfall
2009,autumn,1,Coolgardie,"Mediterranean forests, woodlands, and scrub",,18,2.00925,41.5
2010,autumn,1,Coolgardie,"Mediterranean forests, woodlands, and scrub",,18,2.01025,61
2011,autumn,1,Coolgardie,"Mediterranean forests, woodlands, and scrub",,18,2.01125,66.1
2012,autumn,1,Coolgardie,"Mediterranean forests, woodlands, and scrub",,18,2.01225,71.2
2013,autumn,1,Coolgardie,"Mediterranean forests, woodlands, and scrub",,18,2.01325,59.7
2014,autumn,1,Coolgardie,"Mediterranean forests, woodlands, and scrub",,18,2.01425,48.2
2015,autumn,1,Coolgardie,"Mediterranean forests, woodlands, and scrub",,18,2.01525,52
2016,autumn,1,Coolgardie,"Mediterranean forests, woodlands, and scrub",,18,2.01625,55.8
2017,autumn,1,Coolgardie,"Mediterranean forests, woodlands, and scrub",,18,2.01725,41.7
2018,autumn,1,Coolgardie,"Mediterranean forests, woodlands, and scrub",,18,2.01825,27.6
2000,spring,3,Coolgardie,"Mediterranean forests, woodlands, and scrub",,18,2.00075,38
2001,spring,3,Coolgardie,"Mediterranean forests, woodlands, and scrub",,18,2.00175,32.3
2002,spring,3,Coolgardie,"Mediterranean forests, woodlands, and scrub",,18,2.00275,26.6
2003,spring,3,Coolgardie,"Mediterranean forests, woodlands, and scrub",,18,2.00375,29.2
2004,spring,3,Coolgardie,"Mediterranean forests, woodlands, and scrub",,18,2.00475,31.8
2005,spring,3,Coolgardie,"Mediterranean forests, woodlands, and scrub",,18,2.00575,37.4
2006,spring,3,Coolgardie,"Mediterranean forests, woodlands, and scrub",,18,2.00675,43
2007,spring,3,Coolgardie,"Mediterranean forests, woodlands, and scrub",,18,2.00775,107.4
2008,spring,3,Coolgardie,"Mediterranean forests, woodlands, and scrub",,18,2.00875,171.8
2009,spring,3,Coolgardie,"Mediterranean forests, woodlands, and scrub",,18,2.00975,98.5
2010,spring,3,Coolgardie,"Mediterranean forests, woodlands, and scrub",,18,2.01075,25.2
2011,spring,3,Coolgardie,"Mediterranean forests, woodlands, and scrub",,18,2.01175,63.7
2012,spring,3,Coolgardie,"Mediterranean forests, woodlands, and scrub",,18,2.01275,102.2
2013,spring,3,Coolgardie,"Mediterranean forests, woodlands, and scrub",,18,2.01375,146.1
2014,spring,3,Coolgardie,"Mediterranean forests, woodlands, and scrub",1,18,2.01475,190
2015,spring,3,Coolgardie,"Mediterranean forests, woodlands, and scrub",,18,2.01575,106.1
2016,spring,3,Coolgardie,"Mediterranean forests, woodlands, and scrub",,18,2.01675,22.2
2017,spring,3,Coolgardie,"Mediterranean forests, woodlands, and scrub",,18,2.01775,63
2018,spring,3,Coolgardie,"Mediterranean forests, woodlands, and scrub",,18,2.01875,103.8
2000,summer,0,Coolgardie,"Mediterranean forests, woodlands, and scrub",,18,2,155.2
2001,summer,0,Coolgardie,"Mediterranean forests, woodlands, and scrub",,18,2.001,108
2002,summer,0,Coolgardie,"Mediterranean forests, woodlands, and scrub",,18,2.002,60.8
2003,summer,0,Coolgardie,"Mediterranean forests, woodlands, and scrub",,18,2.003,66.2
2004,summer,0,Coolgardie,"Mediterranean forests, woodlands, and scrub",,18,2.004,71.6
2005,summer,0,Coolgardie,"Mediterranean forests, woodlands, and scrub",,18,2.005,65.9
2006,summer,0,Coolgardie,"Mediterranean forests, woodlands, and scrub",,18,2.006,60.2
2007,summer,0,Coolgardie,"Mediterranean forests, woodlands, and scrub",,18,2.007,67.8
2008,summer,0,Coolgardie,"Mediterranean forests, woodlands, and scrub",,18,2.008,75.4
2009,summer,0,Coolgardie,"Mediterranean forests, woodlands, and scrub",,18,2.009,57.4
2010,summer,0,Coolgardie,"Mediterranean forests, woodlands, and scrub",,18,2.01,39.4
2011,summer,0,Coolgardie,"Mediterranean forests, woodlands, and scrub",,18,2.011,58.1
2012,summer,0,Coolgardie,"Mediterranean forests, woodlands, and scrub",,18,2.012,76.8
2013,summer,0,Coolgardie,"Mediterranean forests, woodlands, and scrub",,18,2.013,85.9
2014,summer,0,Coolgardie,"Mediterranean forests, woodlands, and scrub",,18,2.014,95
2015,summer,0,Coolgardie,"Mediterranean forests, woodlands, and scrub",,18,2.015,86.2
2016,summer,0,Coolgardie,"Mediterranean forests, woodlands, and scrub",,18,2.016,77.4
2017,summer,0,Coolgardie,"Mediterranean forests, woodlands, and scrub",,18,2.017,75.1
2018,summer,0,Coolgardie,"Mediterranean forests, woodlands, and scrub",,18,2.018,72.8
2000,winter,2,Coolgardie,"Mediterranean forests, woodlands, and scrub",,18,2.0005,39.8
2001,winter,2,Coolgardie,"Mediterranean forests, woodlands, and scrub",,18,2.0015,43.2
2002,winter,2,Coolgardie,"Mediterranean forests, woodlands, and scrub",,18,2.0025,46.6
2003,winter,2,Coolgardie,"Mediterranean forests, woodlands, and scrub",,18,2.0035,57.8
2004,winter,2,Coolgardie,"Mediterranean forests, woodlands, and scrub",,18,2.0045,69
2005,winter,2,Coolgardie,"Mediterranean forests, woodlands, and scrub",,18,2.0055,44.5
2006,winter,2,Coolgardie,"Mediterranean forests, woodlands, and scrub",,18,2.0065,20
2007,winter,2,Coolgardie,"Mediterranean forests, woodlands, and scrub",,18,2.0075,30.6
2008,winter,2,Coolgardie,"Mediterranean forests, woodlands, and scrub",,18,2.0085,41.2
2009,winter,2,Coolgardie,"Mediterranean forests, woodlands, and scrub",,18,2.0095,41.5
2010,winter,2,Coolgardie,"Mediterranean forests, woodlands, and scrub",,18,2.0105,41.8
2011,winter,2,Coolgardie,"Mediterranean forests, woodlands, and scrub",,18,2.0115,47.4
2012,winter,2,Coolgardie,"Mediterranean forests, woodlands, and scrub",,18,2.0125,53
2013,winter,2,Coolgardie,"Mediterranean forests, woodlands, and scrub",,18,2.0135,53.3
2014,winter,2,Coolgardie,"Mediterranean forests, woodlands, and scrub",,18,2.0145,53.6
2015,winter,2,Coolgardie,"Mediterranean forests, woodlands, and scrub",,18,2.0155,79.3
2016,winter,2,Coolgardie,"Mediterranean forests, woodlands, and scrub",,18,2.0165,105
2017,winter,2,Coolgardie,"Mediterranean forests, woodlands, and scrub",,18,2.0175,76.7
2018,winter,2,Coolgardie,"Mediterranean forests, woodlands, and scrub",,18,2.0185,48.4
2000,autumn,1,Daly Basin,"Tropical and subtropical grasslands, savannas, and shrublands",,19,2.00025,471.4
2001,autumn,1,Daly Basin,"Tropical and subtropical grasslands, savannas, and shrublands",,19,2.00125,268.5
2002,autumn,1,Daly Basin,"Tropical and subtropical grasslands, savannas, and shrublands",,19,2.00225,65.6
2003,autumn,1,Daly Basin,"Tropical and subtropical grasslands, savannas, and shrublands",,19,2.00325,238.9
2004,autumn,1,Daly Basin,"Tropical and subtropical grasslands, savannas, and shrublands",,19,2.00425,412.2
2005,autumn,1,Daly Basin,"Tropical and subtropical grasslands, savannas, and shrublands",,19,2.00525,540.3
2006,autumn,1,Daly Basin,"Tropical and subtropical grasslands, savannas, and shrublands",4,19,2.00625,668.4
2007,autumn,1,Daly Basin,"Tropical and subtropical grasslands, savannas, and shrublands",,19,2.00725,432.95
2008,autumn,1,Daly Basin,"Tropical and subtropical grasslands, savannas, and shrublands",,19,2.00825,197.5
2009,autumn,1,Daly Basin,"Tropical and subtropical grasslands, savannas, and shrublands",3,19,2.00925,186.85
2010,autumn,1,Daly Basin,"Tropical and subtropical grasslands, savannas, and shrublands",,19,2.01025,176.2
2011,autumn,1,Daly Basin,"Tropical and subtropical grasslands, savannas, and shrublands",2,19,2.01125,291.95
2012,autumn,1,Daly Basin,"Tropical and subtropical grasslands, savannas, and shrublands",,19,2.01225,407.7
2013,autumn,1,Daly Basin,"Tropical and subtropical grasslands, savannas, and shrublands",6,19,2.01325,262.75
2014,autumn,1,Daly Basin,"Tropical and subtropical grasslands, savannas, and shrublands",4,19,2.01425,117.8
2015,autumn,1,Daly Basin,"Tropical and subtropical grasslands, savannas, and shrublands",30,19,2.01525,87.5
2016,autumn,1,Daly Basin,"Tropical and subtropical grasslands, savannas, and shrublands",20,19,2.01625,57.2
2017,autumn,1,Daly Basin,"Tropical and subtropical grasslands, savannas, and shrublands",28,19,2.01725,38.65
2018,autumn,1,Daly Basin,"Tropical and subtropical grasslands, savannas, and shrublands",13,19,2.01825,20.1
2000,spring,3,Daly Basin,"Tropical and subtropical grasslands, savannas, and shrublands",,19,2.00075,243.2
2001,spring,3,Daly Basin,"Tropical and subtropical grasslands, savannas, and shrublands",,19,2.00175,185.4
2002,spring,3,Daly Basin,"Tropical and subtropical grasslands, savannas, and shrublands",,19,2.00275,127.6
2003,spring,3,Daly Basin,"Tropical and subtropical grasslands, savannas, and shrublands",,19,2.00375,102.2
2004,spring,3,Daly Basin,"Tropical and subtropical grasslands, savannas, and shrublands",,19,2.00475,76.8
2005,spring,3,Daly Basin,"Tropical and subtropical grasslands, savannas, and shrublands",,19,2.00575,49.1
2006,spring,3,Daly Basin,"Tropical and subtropical grasslands, savannas, and shrublands",,19,2.00675,21.4
2007,spring,3,Daly Basin,"Tropical and subtropical grasslands, savannas, and shrublands",,19,2.00775,42.35
2008,spring,3,Daly Basin,"Tropical and subtropical grasslands, savannas, and shrublands",,19,2.00875,63.3
2009,spring,3,Daly Basin,"Tropical and subtropical grasslands, savannas, and shrublands",11,19,2.00975,112.1
2010,spring,3,Daly Basin,"Tropical and subtropical grasslands, savannas, and shrublands",19,19,2.01075,160.9
2011,spring,3,Daly Basin,"Tropical and subtropical grasslands, savannas, and shrublands",12,19,2.01175,147.4
2012,spring,3,Daly Basin,"Tropical and subtropical grasslands, savannas, and shrublands",6,19,2.01275,133.9
2013,spring,3,Daly Basin,"Tropical and subtropical grasslands, savannas, and shrublands",11,19,2.01375,154.1
2014,spring,3,Daly Basin,"Tropical and subtropical grasslands, savannas, and shrublands",153,19,2.01475,174.3
2015,spring,3,Daly Basin,"Tropical and subtropical grasslands, savannas, and shrublands",71,19,2.01575,99.85
2016,spring,3,Daly Basin,"Tropical and subtropical grasslands, savannas, and shrublands",38,19,2.01675,25.4
2017,spring,3,Daly Basin,"Tropical and subtropical grasslands, savannas, and shrublands",254,19,2.01775,28.45
2018,spring,3,Daly Basin,"Tropical and subtropical grasslands, savannas, and shrublands",967,19,2.01875,31.5
2000,summer,0,Daly Basin,"Tropical and subtropical grasslands, savannas, and shrublands",,19,2,517.6
2001,summer,0,Daly Basin,"Tropical and subtropical grasslands, savannas, and shrublands",,19,2.001,619.1
2002,summer,0,Daly Basin,"Tropical and subtropical grasslands, savannas, and shrublands",,19,2.002,720.6
2003,summer,0,Daly Basin,"Tropical and subtropical grasslands, savannas, and shrublands",,19,2.003,786.85
2004,summer,0,Daly Basin,"Tropical and subtropical grasslands, savannas, and shrublands",,19,2.004,853.1
2005,summer,0,Daly Basin,"Tropical and subtropical grasslands, savannas, and shrublands",,19,2.005,808.4
2006,summer,0,Daly Basin,"Tropical and subtropical grasslands, savannas, and shrublands",,19,2.006,763.7
2007,summer,0,Daly Basin,"Tropical and subtropical grasslands, savannas, and shrublands",,19,2.007,875.05
2008,summer,0,Daly Basin,"Tropical and subtropical grasslands, savannas, and shrublands",,19,2.008,986.4
2009,summer,0,Daly Basin,"Tropical and subtropical grasslands, savannas, and shrublands",,19,2.009,912
2010,summer,0,Daly Basin,"Tropical and subtropical grasslands, savannas, and shrublands",4,19,2.01,837.6
2011,summer,0,Daly Basin,"Tropical and subtropical grasslands, savannas, and shrublands",10,19,2.011,697.1
2012,summer,0,Daly Basin,"Tropical and subtropical grasslands, savannas, and shrublands",,19,2.012,556.6
2013,summer,0,Daly Basin,"Tropical and subtropical grasslands, savannas, and shrublands",3,19,2.013,612.2
2014,summer,0,Daly Basin,"Tropical and subtropical grasslands, savannas, and shrublands",37,19,2.014,667.8
2015,summer,0,Daly Basin,"Tropical and subtropical grasslands, savannas, and shrublands",37,19,2.015,784.3
2016,summer,0,Daly Basin,"Tropical and subtropical grasslands, savannas, and shrublands",29,19,2.016,900.8
2017,summer,0,Daly Basin,"Tropical and subtropical grasslands, savannas, and shrublands",28,19,2.017,909.8
2018,summer,0,Daly Basin,"Tropical and subtropical grasslands, savannas, and shrublands",267,19,2.018,918.8
2000,winter,2,Daly Basin,"Tropical and subtropical grasslands, savannas, and shrublands",,19,2.0005,0.8
2001,winter,2,Daly Basin,"Tropical and subtropical grasslands, savannas, and shrublands",,19,2.0015,0.4
2002,winter,2,Daly Basin,"Tropical and subtropical grasslands, savannas, and shrublands",,19,2.0025,186
2003,winter,2,Daly Basin,"Tropical and subtropical grasslands, savannas, and shrublands",,19,2.0035,186
2004,winter,2,Daly Basin,"Tropical and subtropical grasslands, savannas, and shrublands",,19,2.0045,186
2005,winter,2,Daly Basin,"Tropical and subtropical grasslands, savannas, and shrublands",,19,2.0055,186
2006,winter,2,Daly Basin,"Tropical and subtropical grasslands, savannas, and shrublands",,19,2.0065,186
2007,winter,2,Daly Basin,"Tropical and subtropical grasslands, savannas, and shrublands",,19,2.0075,186
2008,winter,2,Daly Basin,"Tropical and subtropical grasslands, savannas, and shrublands",,19,2.0085,186
2009,winter,2,Daly Basin,"Tropical and subtropical grasslands, savannas, and shrublands",2,19,2.0095,1.9
2010,winter,2,Daly Basin,"Tropical and subtropical grasslands, savannas, and shrublands",8,19,2.0105,3.8
2011,winter,2,Daly Basin,"Tropical and subtropical grasslands, savannas, and shrublands",,19,2.0115,1.9
2012,winter,2,Daly Basin,"Tropical and subtropical grasslands, savannas, and shrublands",6,19,2.0125,186
2013,winter,2,Daly Basin,"Tropical and subtropical grasslands, savannas, and shrublands",12,19,2.0135,186
2014,winter,2,Daly Basin,"Tropical and subtropical grasslands, savannas, and shrublands",4,19,2.0145,186
2015,winter,2,Daly Basin,"Tropical and subtropical grasslands, savannas, and shrublands",12,19,2.0155,1.8
2016,winter,2,Daly Basin,"Tropical and subtropical grasslands, savannas, and shrublands",13,19,2.0165,3.6
2017,winter,2,Daly Basin,"Tropical and subtropical grasslands, savannas, and shrublands",88,19,2.0175,1.8
2018,winter,2,Daly Basin,"Tropical and subtropical grasslands, savannas, and shrublands",420,19,2.0185,290.6
2000,autumn,1,Dampierland,"Tropical and subtropical grasslands, savannas, and shrublands",,20,2.00025,581.2
2001,autumn,1,Dampierland,"Tropical and subtropical grasslands, savannas, and shrublands",8,20,2.00125,307.2
2002,autumn,1,Dampierland,"Tropical and subtropical grasslands, savannas, and shrublands",10,20,2.00225,33.2
2003,autumn,1,Dampierland,"Tropical and subtropical grasslands, savannas, and shrublands",10,20,2.00325,102.9
2004,autumn,1,Dampierland,"Tropical and subtropical grasslands, savannas, and shrublands",3,20,2.00425,172.6
2005,autumn,1,Dampierland,"Tropical and subtropical grasslands, savannas, and shrublands",,20,2.00525,162.25
2006,autumn,1,Dampierland,"Tropical and subtropical grasslands, savannas, and shrublands",4,20,2.00625,151.9
2007,autumn,1,Dampierland,"Tropical and subtropical grasslands, savannas, and shrublands",,20,2.00725,145.45
2008,autumn,1,Dampierland,"Tropical and subtropical grasslands, savannas, and shrublands",1,20,2.00825,139
2009,autumn,1,Dampierland,"Tropical and subtropical grasslands, savannas, and shrublands",,20,2.00925,176
2010,autumn,1,Dampierland,"Tropical and subtropical grasslands, savannas, and shrublands",,20,2.01025,213
2011,autumn,1,Dampierland,"Tropical and subtropical grasslands, savannas, and shrublands",26,20,2.01125,248.1
2012,autumn,1,Dampierland,"Tropical and subtropical grasslands, savannas, and shrublands",5,20,2.01225,283.2
2013,autumn,1,Dampierland,"Tropical and subtropical grasslands, savannas, and shrublands",2,20,2.01325,190.3
2014,autumn,1,Dampierland,"Tropical and subtropical grasslands, savannas, and shrublands",83,20,2.01425,97.4
2015,autumn,1,Dampierland,"Tropical and subtropical grasslands, savannas, and shrublands",255,20,2.01525,133.7
2016,autumn,1,Dampierland,"Tropical and subtropical grasslands, savannas, and shrublands",332,20,2.01625,170
2017,autumn,1,Dampierland,"Tropical and subtropical grasslands, savannas, and shrublands",114,20,2.01725,101
2018,autumn,1,Dampierland,"Tropical and subtropical grasslands, savannas, and shrublands",622,20,2.01825,32
2000,spring,3,Dampierland,"Tropical and subtropical grasslands, savannas, and shrublands",242,20,2.00075,2
2001,spring,3,Dampierland,"Tropical and subtropical grasslands, savannas, and shrublands",143,20,2.00175,17.4
2002,spring,3,Dampierland,"Tropical and subtropical grasslands, savannas, and shrublands",12,20,2.00275,32.8
2003,spring,3,Dampierland,"Tropical and subtropical grasslands, savannas, and shrublands",34,20,2.00375,50.15
2004,spring,3,Dampierland,"Tropical and subtropical grasslands, savannas, and shrublands",,20,2.00475,67.5
2005,spring,3,Dampierland,"Tropical and subtropical grasslands, savannas, and shrublands",25,20,2.00575,48.55
2006,spring,3,Dampierland,"Tropical and subtropical grasslands, savannas, and shrublands",218,20,2.00675,29.6
2007,spring,3,Dampierland,"Tropical and subtropical grasslands, savannas, and shrublands",1,20,2.00775,17.85
2008,spring,3,Dampierland,"Tropical and subtropical grasslands, savannas, and shrublands",103,20,2.00875,6.1
2009,spring,3,Dampierland,"Tropical and subtropical grasslands, savannas, and shrublands",179,20,2.00975,86.9
2010,spring,3,Dampierland,"Tropical and subtropical grasslands, savannas, and shrublands",232,20,2.01075,167.7
2011,spring,3,Dampierland,"Tropical and subtropical grasslands, savannas, and shrublands",56,20,2.01175,95.65
2012,spring,3,Dampierland,"Tropical and subtropical grasslands, savannas, and shrublands",267,20,2.01275,23.6
2013,spring,3,Dampierland,"Tropical and subtropical grasslands, savannas, and shrublands",117,20,2.01375,14.7
2014,spring,3,Dampierland,"Tropical and subtropical grasslands, savannas, and shrublands",85,20,2.01475,5.8
2015,spring,3,Dampierland,"Tropical and subtropical grasslands, savannas, and shrublands",234,20,2.01575,5.2
2016,spring,3,Dampierland,"Tropical and subtropical grasslands, savannas, and shrublands",432,20,2.01675,4.6
2017,spring,3,Dampierland,"Tropical and subtropical grasslands, savannas, and shrublands",461,20,2.01775,9.8
2018,spring,3,Dampierland,"Tropical and subtropical grasslands, savannas, and shrublands",1333,20,2.01875,15
2000,summer,0,Dampierland,"Tropical and subtropical grasslands, savannas, and shrublands",25,20,2,532.6
2001,summer,0,Dampierland,"Tropical and subtropical grasslands, savannas, and shrublands",,20,2.001,485.8
2002,summer,0,Dampierland,"Tropical and subtropical grasslands, savannas, and shrublands",48,20,2.002,439
2003,summer,0,Dampierland,"Tropical and subtropical grasslands, savannas, and shrublands",2,20,2.003,548.3
2004,summer,0,Dampierland,"Tropical and subtropical grasslands, savannas, and shrublands",2,20,2.004,657.6
2005,summer,0,Dampierland,"Tropical and subtropical grasslands, savannas, and shrublands",,20,2.005,621.8
2006,summer,0,Dampierland,"Tropical and subtropical grasslands, savannas, and shrublands",8,20,2.006,586
2007,summer,0,Dampierland,"Tropical and subtropical grasslands, savannas, and shrublands",18,20,2.007,548.2
2008,summer,0,Dampierland,"Tropical and subtropical grasslands, savannas, and shrublands",15,20,2.008,510.4
2009,summer,0,Dampierland,"Tropical and subtropical grasslands, savannas, and shrublands",6,20,2.009,492
2010,summer,0,Dampierland,"Tropical and subtropical grasslands, savannas, and shrublands",,20,2.01,473.6
2011,summer,0,Dampierland,"Tropical and subtropical grasslands, savannas, and shrublands",21,20,2.011,465.5
2012,summer,0,Dampierland,"Tropical and subtropical grasslands, savannas, and shrublands",54,20,2.012,457.4
2013,summer,0,Dampierland,"Tropical and subtropical grasslands, savannas, and shrublands",145,20,2.013,482.5
2014,summer,0,Dampierland,"Tropical and subtropical grasslands, savannas, and shrublands",4,20,2.014,507.6
2015,summer,0,Dampierland,"Tropical and subtropical grasslands, savannas, and shrublands",68,20,2.015,338.8
2016,summer,0,Dampierland,"Tropical and subtropical grasslands, savannas, and shrublands",190,20,2.016,170
2017,summer,0,Dampierland,"Tropical and subtropical grasslands, savannas, and shrublands",329,20,2.017,605.1
2018,summer,0,Dampierland,"Tropical and subtropical grasslands, savannas, and shrublands",289,20,2.018,1040.2
2000,winter,2,Dampierland,"Tropical and subtropical grasslands, savannas, and shrublands",231,20,2.0005,520.1
2001,winter,2,Dampierland,"Tropical and subtropical grasslands, savannas, and shrublands",35,20,2.0015,186
2002,winter,2,Dampierland,"Tropical and subtropical grasslands, savannas, and shrublands",8,20,2.0025,186
2003,winter,2,Dampierland,"Tropical and subtropical grasslands, savannas, and shrublands",231,20,2.0035,10.75
2004,winter,2,Dampierland,"Tropical and subtropical grasslands, savannas, and shrublands",,20,2.0045,21.5
2005,winter,2,Dampierland,"Tropical and subtropical grasslands, savannas, and shrublands",6,20,2.0055,12.15
2006,winter,2,Dampierland,"Tropical and subtropical grasslands, savannas, and shrublands",,20,2.0065,2.8
2007,winter,2,Dampierland,"Tropical and subtropical grasslands, savannas, and shrublands",5,20,2.0075,1.4
2008,winter,2,Dampierland,"Tropical and subtropical grasslands, savannas, and shrublands",2,20,2.0085,186
2009,winter,2,Dampierland,"Tropical and subtropical grasslands, savannas, and shrublands",16,20,2.0095,59.5
2010,winter,2,Dampierland,"Tropical and subtropical grasslands, savannas, and shrublands",174,20,2.0105,119
2011,winter,2,Dampierland,"Tropical and subtropical grasslands, savannas, and shrublands",77,20,2.0115,59.5
2012,winter,2,Dampierland,"Tropical and subtropical grasslands, savannas, and shrublands",562,20,2.0125,186
2013,winter,2,Dampierland,"Tropical and subtropical grasslands, savannas, and shrublands",1,20,2.0135,20.9
2014,winter,2,Dampierland,"Tropical and subtropical grasslands, savannas, and shrublands",706,20,2.0145,41.8
2015,winter,2,Dampierland,"Tropical and subtropical grasslands, savannas, and shrublands",149,20,2.0155,41
2016,winter,2,Dampierland,"Tropical and subtropical grasslands, savannas, and shrublands",123,20,2.0165,40.2
2017,winter,2,Dampierland,"Tropical and subtropical grasslands, savannas, and shrublands",537,20,2.0175,20.1
2018,winter,2,Dampierland,"Tropical and subtropical grasslands, savannas, and shrublands",460,20,2.0185,91.3
2000,autumn,1,Darling Riverine Plains,"Temperate grasslands, savannas, and shrublands",11,21,2.00025,182.6
2001,autumn,1,Darling Riverine Plains,"Temperate grasslands, savannas, and shrublands",1,21,2.00125,133.8
2002,autumn,1,Darling Riverine Plains,"Temperate grasslands, savannas, and shrublands",,21,2.00225,85
2003,autumn,1,Darling Riverine Plains,"Temperate grasslands, savannas, and shrublands",4,21,2.00325,146.9
2004,autumn,1,Darling Riverine Plains,"Temperate grasslands, savannas, and shrublands",10,21,2.00425,208.8
2005,autumn,1,Darling Riverine Plains,"Temperate grasslands, savannas, and shrublands",10,21,2.00525,138.7
2006,autumn,1,Darling Riverine Plains,"Temperate grasslands, savannas, and shrublands",16,21,2.00625,68.6
2007,autumn,1,Darling Riverine Plains,"Temperate grasslands, savannas, and shrublands",18,21,2.00725,50.3
2008,autumn,1,Darling Riverine Plains,"Temperate grasslands, savannas, and shrublands",51,21,2.00825,32
2009,autumn,1,Darling Riverine Plains,"Temperate grasslands, savannas, and shrublands",56,21,2.00925,96
2010,autumn,1,Darling Riverine Plains,"Temperate grasslands, savannas, and shrublands",10,21,2.01025,160
2011,autumn,1,Darling Riverine Plains,"Temperate grasslands, savannas, and shrublands",58,21,2.01125,136.6
2012,autumn,1,Darling Riverine Plains,"Temperate grasslands, savannas, and shrublands",113,21,2.01225,113.2
2013,autumn,1,Darling Riverine Plains,"Temperate grasslands, savannas, and shrublands",129,21,2.01325,143.9
2014,autumn,1,Darling Riverine Plains,"Temperate grasslands, savannas, and shrublands",98,21,2.01425,174.6
2015,autumn,1,Darling Riverine Plains,"Temperate grasslands, savannas, and shrublands",26,21,2.01525,113.1
2016,autumn,1,Darling Riverine Plains,"Temperate grasslands, savannas, and shrublands",108,21,2.01625,51.6
2017,autumn,1,Darling Riverine Plains,"Temperate grasslands, savannas, and shrublands",90,21,2.01725,47.4
2018,autumn,1,Darling Riverine Plains,"Temperate grasslands, savannas, and shrublands",135,21,2.01825,43.2
2000,spring,3,Darling Riverine Plains,"Temperate grasslands, savannas, and shrublands",39,21,2.00075,229.2
2001,spring,3,Darling Riverine Plains,"Temperate grasslands, savannas, and shrublands",32,21,2.00175,143.4
2002,spring,3,Darling Riverine Plains,"Temperate grasslands, savannas, and shrublands",99,21,2.00275,57.6
2003,spring,3,Darling Riverine Plains,"Temperate grasslands, savannas, and shrublands",4,21,2.00375,132
2004,spring,3,Darling Riverine Plains,"Temperate grasslands, savannas, and shrublands",13,21,2.00475,206.4
2005,spring,3,Darling Riverine Plains,"Temperate grasslands, savannas, and shrublands",26,21,2.00575,142
2006,spring,3,Darling Riverine Plains,"Temperate grasslands, savannas, and shrublands",81,21,2.00675,77.6
2007,spring,3,Darling Riverine Plains,"Temperate grasslands, savannas, and shrublands",37,21,2.00775,138.1
2008,spring,3,Darling Riverine Plains,"Temperate grasslands, savannas, and shrublands",6,21,2.00875,198.6
2009,spring,3,Darling Riverine Plains,"Temperate grasslands, savannas, and shrublands",67,21,2.00975,259.1
2010,spring,3,Darling Riverine Plains,"Temperate grasslands, savannas, and shrublands",17,21,2.01075,319.6
2011,spring,3,Darling Riverine Plains,"Temperate grasslands, savannas, and shrublands",116,21,2.01175,182.2
2012,spring,3,Darling Riverine Plains,"Temperate grasslands, savannas, and shrublands",12,21,2.01275,44.8
2013,spring,3,Darling Riverine Plains,"Temperate grasslands, savannas, and shrublands",206,21,2.01375,42
2014,spring,3,Darling Riverine Plains,"Temperate grasslands, savannas, and shrublands",86,21,2.01475,39.2
2015,spring,3,Darling Riverine Plains,"Temperate grasslands, savannas, and shrublands",216,21,2.01575,100.75
2016,spring,3,Darling Riverine Plains,"Temperate grasslands, savannas, and shrublands",178,21,2.01675,162.3
2017,spring,3,Darling Riverine Plains,"Temperate grasslands, savannas, and shrublands",332,21,2.01775,138.05
2018,spring,3,Darling Riverine Plains,"Temperate grasslands, savannas, and shrublands",261,21,2.01875,113.8
2000,summer,0,Darling Riverine Plains,"Temperate grasslands, savannas, and shrublands",113,21,2,158.6
2001,summer,0,Darling Riverine Plains,"Temperate grasslands, savannas, and shrublands",65,21,2.001,114.8
2002,summer,0,Darling Riverine Plains,"Temperate grasslands, savannas, and shrublands",10,21,2.002,71
2003,summer,0,Darling Riverine Plains,"Temperate grasslands, savannas, and shrublands",4,21,2.003,195.9
2004,summer,0,Darling Riverine Plains,"Temperate grasslands, savannas, and shrublands",2,21,2.004,320.8
2005,summer,0,Darling Riverine Plains,"Temperate grasslands, savannas, and shrublands",24,21,2.005,280.3
2006,summer,0,Darling Riverine Plains,"Temperate grasslands, savannas, and shrublands",12,21,2.006,239.8
2007,summer,0,Darling Riverine Plains,"Temperate grasslands, savannas, and shrublands",53,21,2.007,288.6
2008,summer,0,Darling Riverine Plains,"Temperate grasslands, savannas, and shrublands",2,21,2.008,337.4
2009,summer,0,Darling Riverine Plains,"Temperate grasslands, savannas, and shrublands",2,21,2.009,261.3
2010,summer,0,Darling Riverine Plains,"Temperate grasslands, savannas, and shrublands",2,21,2.01,185.2
2011,summer,0,Darling Riverine Plains,"Temperate grasslands, savannas, and shrublands",,21,2.011,401.4
2012,summer,0,Darling Riverine Plains,"Temperate grasslands, savannas, and shrublands",8,21,2.012,617.6
2013,summer,0,Darling Riverine Plains,"Temperate grasslands, savannas, and shrublands",34,21,2.013,330.7
2014,summer,0,Darling Riverine Plains,"Temperate grasslands, savannas, and shrublands",283,21,2.014,43.8
2015,summer,0,Darling Riverine Plains,"Temperate grasslands, savannas, and shrublands",28,21,2.015,134.2
2016,summer,0,Darling Riverine Plains,"Temperate grasslands, savannas, and shrublands",87,21,2.016,224.6
2017,summer,0,Darling Riverine Plains,"Temperate grasslands, savannas, and shrublands",66,21,2.017,166.9
2018,summer,0,Darling Riverine Plains,"Temperate grasslands, savannas, and shrublands",35,21,2.018,109.2
